((h*m+h*3+b)/h)/(1/h) = (a/h)/(1/h)	2.0	0.0	35.0	4.5	1.0
(-1+5)*-7	2.0	50.0	133.5	1.5	2.0
(-1-6)*-2	2.0	50.0	28.5	0.0	2.0
(-1-6)*-4	2.0	25.0	21.0	1.0	2.0
(-1/2)*32s^2+1000s+50 = 0	4.0	12.5	29.75	1.0	1.0
(-1/2)*32s^2+60s+6 = 56	4.0	6.25	90.75	0.5	1.0
(-10+0)*-9	2.0	0.0	24.5	0.0	2.0
(-10-3)*-2	2.0	25.0	21.0	1.5	2.0
(-10-6)*-3	2.0	50.0	80.0	0.0	2.0
(-19+sqrt(19^2-4*7*-6))/14 = x	3.0	11.111111111111109	83.0	0.0	1.0
(-19-sqrt(19^2-4*7*-6))/14 = x	3.0	22.222222222222218	27.666666666666668	0.0	1.0
(-2-6)*8	2.0	25.0	28.0	0.0	2.0
(-2-9)*3	2.0	0.0	30.5	0.0	2.0
(-3+sqrt(3^2-(-456)))/-12 = x	5.0	12.0	23.4	0.0	1.0
(-3-8)*-2	3.0	11.111111111111109	33.0	1.0	2.0
(-3-8)*-4	2.0	50.0	235.0	0.0	2.0
(-3-sqrt(3^2-(-456)))/-12 = x	6.0	5.5555555555555545	21.0	0.0	1.0
(-3-sqrt(3^2-4*-6*19))/-12 = x	3.0	22.222222222222218	30.666666666666668	0.0	1.0
(-4-1)*6	2.0	25.0	31.5	0.0	2.0
(-4-5)*-4	2.0	50.0	35.5	0.0	2.0
(-4-8)*-7	3.0	22.222222222222218	63.333333333333336	0.0	2.0
(-4-9)*-7	2.0	0.0	49.0	0.0	2.0
(-5+sqrt(29))/2 = x	25.0	2.72	35.52	0.64	1.0
(-5+sqrt(5^2-(-4)))/2 = x	11.0	4.132231404958677	26.272727272727273	1.0909090909090908	1.0
(-5-6)*-1	2.0	50.0	22.5	0.0	2.0
(-5-7)*7	2.0	25.0	23.0	0.0	2.0
(-5-sqrt(5^2-(-4)))/2 = x	11.0	4.958677685950413	29.545454545454547	0.7272727272727273	1.0
(-6+0)*-7	2.0	50.0	67.0	0.0	2.0
(-6+5)*-7	2.0	25.0	26.0	0.0	2.0
(-6+sqrt(6^2-32))/16 = x	11.0	5.785123966942148	21.90909090909091	0.9090909090909091	1.0
(-7+sqrt(7^2-4*1*9))/(2*1) = x	2.0	50.0	28.5	0.0	1.0
(-7-5)*-6	2.0	50.0	34.0	0.0	2.0
(-7-7)*-7	2.0	25.0	23.0	0.0	2.0
(-7-sqrt(7^2-36))/2 = x	9.0	7.4074074074074066	23.444444444444443	0.4444444444444444	1.0
(-7-sqrt(7^2-4*1*9))/(2*1) = x	2.0	25.0	48.5	0.0	1.0
(-8-1)*-8	2.0	50.0	22.0	0.0	2.0
(-8-10)*-6	2.0	50.0	36.5	0.0	2.0
(-8-sqrt(8^2-4*4*3))/8 = x	2.0	50.0	29.0	0.0	1.0
(-9+sqrt(9^2-80))/2 = x	7.0	12.244897959183673	25.428571428571427	0.0	1.0
(-C*H-T*N)/(-S+Z) = X*(-S+Z)/(-S+Z)	2.0	25.0	217.5	0.0	1.0
